32;1.200;55.000;;44.000;;54.000;25.500;43.000;;43.000;65.200;70.000;;45.000;;46.000;;69.000;1.800;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;1.000;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;120.200;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
33;0.000;;;;;;0.000;;;;0.000;;;;0.000;;;;0.000;;;;;;;;0.000;;;;0.000;;;;;;0.000;;;;;;;;;;;;;;;;;;;;;;;
34;75.209;49.000;;40.000;;49.000;165.105;40.000;;40.000;37.059;65.000;;44.000;3.172;46.000;;65.000;4.571;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;4.302;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;57.623;38.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
35;40.000;50.000;;44.000;;49.000;0.700;43.000;;43.000;10.000;60.000;8.000;45.000;;46.000;;59.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
36;2.410;55.000;28.244;44.000;;54.000;112.894;43.000;5.000;43.000;1.285;68.000;;45.000;;46.000;0.321;67.000;4.900;44.000;;45.000;5.000;44.000;2.500;46.000;;45.000;;45.000;17.262;49.000;4.315;48.000;;48.000;1.642.935;29.000;410.734;28.000;;28.000;;39.000;;38.000;;38.000;11.123;62.000;2.781;61.000;;61.000;;549.000;;548.000;;548.000
37;4.000;55.000;;44.000;;54.000;16.000;43.000;;43.000;3.000;70.000;;45.000;4.000;46.000;;69.000;1.000;44.000;;45.000;;44.000;0.000;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;0.000;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
38;8.000;55.000;7.000;44.000;;54.000;;43.000;;43.000;0.680;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;0.200;46.000;;45.000;;45.000;;49.000;;48.000;;48.000;230.000;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
39;4.100;54.000;;42.000;;53.000;8.000;41.000;;41.000;1.900;65.000;;42.000;;46.000;;64.000;0.700;41.000;;45.000;;41.000;;42.000;;42.000;;42.000;;45.000;;44.000;;44.000;;30.000;;29.000;;29.000;;39.000;;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
40;;55.000;;44.000;;54.000;;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;68.000;45.000;;45.000;;49.000;;48.000;;48.000;;30.000;;29.000;;29.000;15.000;39.000;41.000;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
41;1.412;55.000;;44.000;5.646;54.000;;43.000;;43.000;;70.000;;45.000;;46.000;;69.000;;44.000;;45.000;;44.000;;46.000;;45.000;;45.000;;49.000;0.388;48.000;;48.000;;30.000;118.771;29.000;;29.000;;39.000;0.306;38.000;;38.000;;62.000;;61.000;;61.000;;549.000;;548.000;;548.000
